feature,importance
PC2,0.9368896491181825
PC1,0.014328873980417
PC3,0.012880145667369136
PC4,0.01287856558394188
PC5,0.012688850243425778
Holiday/Promotion___1,0.001220130520940787
Region___west,0.0009685912371044125
Region___north,0.0009529776258161173
Region___south,0.0009437212732113213
Seasonality___winter,0.0009234504095540235
Category___groceries,0.0009205317280255929
Seasonality___spring,0.0009164724316037362
Seasonality___summer,0.0008951197970500736
Category___electronics,0.0008769562148155555
Category___furniture,0.0008710116506113365
Category___toys,0.0008449525179308006
